DataDate,profit
2016-02-26,9.0
2016-02-26,9.0
2016-02-26,12.0
2016-02-26,22.0
2016-02-26,25.0
2016-02-26,30.0
2016-02-26,46.0
2016-02-26,59.0
2016-02-26,16.0
2016-02-29,10.0
2016-02-29,10.0
2016-02-29,9.0
2016-02-29,13.0
2016-02-29,22.0
2016-02-29,26.0
2016-02-29,30.0
2016-02-29,47.0
2016-02-29,60.0
2016-02-29,16.0
2016-03-01,5.0
2016-03-01,8.0
2016-03-01,18.0
2016-03-01,21.0
2016-03-01,26.0
2016-03-01,42.0
2016-03-01,55.0
2016-03-01,11.0
2016-03-02,4.0
2016-03-02,7.0
2016-03-02,18.0
2016-03-02,21.0
2016-03-02,26.0
2016-03-02,42.0
2016-03-02,55.0
2016-03-02,11.0
2016-03-03,4.0
2016-03-03,7.0
2016-03-03,18.0
2016-03-03,21.0
2016-03-03,26.0
2016-03-03,42.0
2016-03-03,55.0
2016-03-03,11.0
2016-03-04,4.0
2016-03-04,1.0
2016-03-04,7.0
2016-03-04,4.0
2016-03-04,17.0
2016-03-04,14.0
2016-03-04,21.0
2016-03-04,18.0
2016-03-04,26.0
2016-03-04,22.0
2016-03-04,42.0
2016-03-04,39.0
2016-03-04,55.0
2016-03-04,52.0
2016-03-04,11.0
2016-03-04,8.0
2016-03-07,7.0
2016-03-07,4.0
2016-03-07,17.0
2016-03-07,14.0
2016-03-07,21.0
2016-03-07,18.0
2016-03-07,25.0
2016-03-07,22.0
2016-03-07,42.0
2016-03-07,39.0
2016-03-07,55.0
2016-03-07,52.0
2016-03-07,11.0
2016-03-07,8.0
2016-03-08,8.0
2016-03-08,18.0
2016-03-08,21.0
2016-03-08,26.0
2016-03-08,42.0
2016-03-08,55.0
2016-03-08,12.0
2016-03-09,7.0
2016-03-09,17.0
2016-03-09,21.0
2016-03-09,26.0
2016-03-09,42.0
2016-03-09,55.0
2016-03-09,11.0
2016-03-10,7.0
2016-03-10,18.0
2016-03-10,21.0
2016-03-10,26.0
2016-03-10,42.0
2016-03-10,55.0
2016-03-10,11.0
2016-03-11,3.0
2016-03-11,14.0
2016-03-11,17.0
2016-03-11,22.0
2016-03-11,38.0
2016-03-11,51.0
2016-03-11,7.0
2016-03-14,3.0
2016-03-14,14.0
2016-03-14,17.0
2016-03-14,22.0
2016-03-14,38.0
2016-03-14,51.0
2016-03-14,7.0
2016-03-15,4.0
2016-03-15,14.0
2016-03-15,17.0
2016-03-15,22.0
2016-03-15,38.0
2016-03-15,51.0
2016-03-15,7.0
2016-03-16,4.0
2016-03-16,14.0
2016-03-16,17.0
2016-03-16,22.0
2016-03-16,39.0
2016-03-16,51.0
2016-03-16,8.0
2016-03-17,3.0
2016-03-17,-0.0
2016-03-17,14.0
2016-03-17,10.0
2016-03-17,17.0
2016-03-17,14.0
2016-03-17,21.0
2016-03-17,18.0
2016-03-17,38.0
2016-03-17,35.0
2016-03-17,51.0
2016-03-17,48.0
2016-03-17,8.0
2016-03-17,4.0
2016-03-18,3.0
2016-03-18,13.0
2016-03-18,17.0
2016-03-18,21.0
2016-03-18,38.0
2016-03-18,51.0
2016-03-18,7.0
2016-03-21,3.0
2016-03-21,-1.0
2016-03-21,13.0
2016-03-21,9.0
2016-03-21,17.0
2016-03-21,14.0
2016-03-21,21.0
2016-03-21,18.0
2016-03-21,38.0
2016-03-21,35.0
2016-03-21,51.0
2016-03-21,48.0
2016-03-21,7.0
2016-03-21,4.0
2016-03-22,3.0
2016-03-22,-1.0
